product_id,taxon_id,,,
66920,31160,,,
69724,42203,,,
81462,32101,,,
66923,12181,,,
66921,12170,,,
75621,43174,,,
66925,12183,,,
66924,12181,,,
66922,12184,,,
87229,81990,,,
69726,60166,,,
69725,60166,,,
66926,30120,,,
77903,60114,,,
69727,60164,,,
69728,60183,,,
69729,60183,,,
84100,14283,,,
66929,61990,,,
66927,14253,,,
66934,17182,,,
66931,30170,,,
66928,14253,,,
66933,12180,,,
66930,41213,,,
66932,18190,,,
75677,43171,,,
66935,17181,,,
70319,43152,,,
67039,12182,,,
69730,60183,,,
72886,51140,,,
67643,70102,,,
66942,17164,,,
66936,17182,,,
66941,17164,,,
66939,17183,,,
66937,17181,,,
67059,12184,,,
66943,17164,,,
66938,17182,,,
66940,18190,,,
66944,17164,,,
75678,43174,,,
87230,70123,,,
66947,14253,,,
66950,31161,,,
66945,17164,,,
66948,14253,,,
66946,17164,,,
66949,14253,,,
66951,72140,,,
69731,60181,,,
75622,43174,,,
69732,60162,,,
69733,60162,,,
69734,60162,,,
81463,32101,,,
66952,42132,,,
66958,18190,,,
66953,42131,,,
66955,15171,,,
66957,42131,,,
66954,15171,,,
66959,42132,,,
66956,42132,,,
75679,43172,,,
66960,72122,,,
66961,72140,,,
69735,60162,,,
69736,60162,,,
87231,70123,,,
66964,17183,,,
66962,42132,,,
66966,17111,,,
69738,60162,,,
66963,42132,,,
66965,17136,,,
69737,60162,,,
66967,61990,,,
69739,60162,,,
69740,60162,,,
81425,30120,,,
69741,60162,,,
69742,60162,,,
75680,43173,,,
82977,50130,,,
66973,42131,,,
66970,42132,,,
66968,17164,,,
66972,42133,,,
66969,42133,,,
66971,42132,,,
69744,60162,,,
66974,42131,,,
66975,42133,,,
69743,60162,,,
77783,62131,,,
83397,43174,,,
79293,60250,,,
66981,42133,,,
66978,42131,,,
66976,42133,,,
69745,60166,,,
66977,42131,,,
66980,42133,,,
75681,43200,,,
66979,42133,,,
66982,42133,,,
66983,42131,,,
81464,32101,,,
66984,42131,,,
66987,42133,,,
66985,42133,,,
69746,60166,,,
66986,42133,,,
69748,60166,,,
66988,42133,,,
66989,42133,,,
69747,60160,,,
75682,43230,,,
69749,60166,,,
73090,61252,,,
87232,15992,,,
77247,43172,,,
66995,12184,,,
66992,72140,,,
66990,42133,,,
66994,72140,,,
66991,42133,,,
66993,72140,,,
66996,42133,,,
66997,14253,,,
70320,43152,,,
81465,32101,,,
67066,17111,,,
67067,17138,,,
70559,43153,,,
67000,12188,,,
66998,12188,,,
67003,12188,,,
69750,60166,,,
66999,12188,,,
67002,12188,,,
67001,12188,,,
75623,43174,,,
69751,60166,,,
75624,43171,,,
67004,12188,,,
75683,43174,,,
67007,12188,,,
67005,12188,,,
67008,17182,,,
67006,12188,,,
67010,14253,,,
87233,15992,,,
69752,60166,,,
67009,14253,,,
69753,60163,,,
69754,60162,,,
67011,14253,,,
67015,12183,,,
69755,60182,,,
67014,12183,,,
67012,14253,,,
75684,43174,,,
67013,12183,,,
69756,60181,,,
81466,32101,,,
75685,43174,,,
83150,15242,,,
88696,43210,,,
67016,12183,,,
67022,14253,,,
67021,14253,,,
67017,12181,,,
67020,14253,,,
69758,60162,,,
67018,12181,,,
69757,60182,,,
67019,12181,,,
70321,43152,,,
69759,60162,,,
81426,30120,,,
75686,43174,,,
67023,14253,,,
67026,12188,,,
67024,12188,,,
87234,15102,,,
67025,12188,,,
68409,43174,,,
67027,12188,,,
67028,12188,,,
68411,50160,,,
68412,50160,,,
68410,43190,,,
81427,30120,,,
75687,43174,,,
67034,17104,,,
67031,12188,,,
67029,12188,,,
69760,60163,,,
67033,42132,,,
67030,12188,,,
67032,12183,,,
67035,42300,,,
67036,17154,,,
67037,61220,,,
67038,17100,,,
70322,43152,,,
67042,17170,,,
67040,12186,,,
67045,12183,,,
69762,60162,,,
67041,17170,,,
67044,12183,,,
69761,60163,,,
67043,17170,,,
81467,32101,,,
75688,43174,,,
87235,15101,,,
67046,12188,,,
67099,63113,,,
67049,12188,,,
67047,18141,,,
67048,12188,,,
69763,60162,,,
67100,63113,,,
67050,12188,,,
70957,61266,,,
67101,63113,,,
69764,60163,,,
81468,32101,,,
70958,61266,,,
67056,12188,,,
67053,12188,,,
67051,12188,,,
67055,12188,,,
67052,12188,,,
67054,12188,,,
67057,12188,,,
67058,12188,,,
75625,43172,,,
69765,60163,,,
70959,61266,,,
70960,61266,,,
67060,12184,,,
67063,17192,,,
67061,12183,,,
75689,43174,,,
67064,42161,,,
67062,17192,,,
69766,60166,,,
