product_id,taxon_id,,,
2889,14292,,,
12312,60107,,,
1226,16151,,,
18,71134,,,
3155,60166,,,
14878,32102,,,
42992,70102,,,
15156,43152,,,
3925,43174,,,
11404,51191,,,
16372,50120,,,
2890,14294,,,
8768,43153,,,
6001,43152,,,
14400,11181,,,
42994,70102,,,
350,17164,,,
11239,60144,,,
19922,62161,,,
4977,19990,,,
6754,51181,,,
1227,16151,,,
13026,60251,,,
6539,61252,,,
18380,63201,,,
351,17164,,,
6004,43152,,,
19289,50130,,,
32319,11182,,,
8771,43153,,,
22,71101,,,
7296,14142,,,
3156,60166,,,
2891,14294,,,
11402,14122,,,
23,71101,,,
3926,43151,,,
21790,11111,,,
15157,43151,,,
6755,51181,,,
2631,32101,,,
39449,18134,,,
33847,50170,,,
11833,15255,,,
6540,61252,,,
6005,43152,,,
19393,17164,,,
4776,43174,,,
21575,70142,,,
12316,60107,,,
19615,43174,,,
11403,51191,,,
24,71103,,,
19924,62161,,,
7943,43152,,,
2892,14292,,,
15295,43190,,,
15990,10153,,,
7946,43152,,,
14879,32102,,,
15296,43174,,,
15158,43151,,,
19308,71144,,,
3927,43152,,,
11275,60251,,,
2639,32102,,,
15297,43151,,,
6541,61252,,,
8786,40150,,,
1228,16151,,,
3157,60166,,,
19290,50130,,,
18376,63201,,,
7947,43152,,,
25,71103,,,
352,17164,,,
7297,14142,,,
2893,14295,,,
6756,51181,,,
16829,32140,,,
9833,12123,,,
12320,60170,,,
353,17164,,,
26,71103,,,
39450,18232,,,
36824,43300,,,
1229,16152,,,
18379,63201,,,
6760,51181,,,
2894,14295,,,
2640,30120,,,
3928,43171,,,
6542,61252,,,
3158,60166,,,
44406,,,,
8772,43153,,,
4979,19990,,,
1230,13163,,,
18381,63201,,,
11276,60251,,,
354,14253,,,
4779,43173,,,
6543,61252,,,
16831,73141,,,
6757,51181,,,
11834,15101,,,
15159,43152,,,
13029,71115,,,
29139,60231,,,
11264,60260,,,
19185,71990,,,
15126,43174,,,
7298,14142,,,
29140,60231,,,
20274,63180,,,
27,71103,,,
19394,17196,,,
13032,41220,,,
2646,30120,,,
2895,14295,,,
7948,43152,,,
6758,51181,,,
3929,43172,,,
28,71103,,,
35502,60103,,,
7952,43152,,,
15298,43152,,,
11277,60251,,,
12321,60173,,,
19616,50110,,,
15299,43152,,,
18382,62990,,,
29,71101,,,
12327,60145,,,
15300,43152,,,
15991,43153,,,
2896,14292,,,
4787,43171,,,
3159,60166,,,
33,71101,,,
29934,61240,,,
19617,50110,,,
39451,61270,,,
19931,62161,,,
6544,61250,,,
355,14253,,,
8776,40240,,,
11835,15102,,,
19292,50130,,,
19932,62161,,,
356,14253,,,
29935,61241,,,
15160,43152,,,
7958,43152,,,
1231,13163,,,
3160,60163,,,
14778,18122,,,
4792,43174,,,
19186,71990,,,
21265,41220,,,
30,71101,,,
9373,43174,,,
6759,51181,,,
2897,14292,,,
6009,43152,,,
2655,32141,,,
31,71103,,,
3161,60162,,,
3930,43173,,,
2659,31161,,,
6545,61252,,,
15302,43174,,,
1232,13163,,,
15301,43151,,,
2898,14297,,,
2671,32143,,,
16386,12261,,,
16385,50120,,,
32,71101,,,
11405,51191,,,
7299,14142,,,
11278,60251,,,
7969,43152,,,
15303,43174,,,
4805,43173,,,
15304,43174,,,
3931,43152,,,
15161,43152,,,
2964,14111,,,
16393,61163,,,
19293,50130,,,
357,31161,,,
4813,43172,,,
7300,10141,,,
2899,14297,,,
12342,60192,,,
6482,73990,,,
6546,61252,,,
4817,43172,,,
2684,15290,,,
3932,43152,,,
358,72140,,,
9755,41220,,,
14881,32121,,,
2686,15290,,,
16396,61162,,,
19187,71990,,,
3162,60182,,,
9374,43171,,,
19946,62162,,,
