product_id,taxon_id
5558,43173
7097,14111
336,12183
944,13122
343,12183
341,12181
337,12183
339,12181
338,12183
340,12181
2066,14251
345,61990
342,12183
346,12183
344,17182
3141,61261
5654,43151
352,42133
349,42133
347,17104
351,42133
348,42133
945,13122
350,42133
353,42133
354,42133
355,61990
4414,51140
2067,14251
1472,51180
356,42300
362,12183
359,61220
357,42133
361,12186
358,17154
946,13122
360,17100
363,12183
364,18141
365,12188
3142,61266
8339,10200
14359,17103
371,12188
368,12188
366,12188
370,12188
367,12188
947,13122
369,12188
372,12188
373,12188
374,12188
2068,14292
4415,51140
5655,43151
377,12184
380,12181
375,12188
378,12183
376,12184
379,12183
381,12181
948,13122
382,12181
383,17111
384,17138
3143,43120
7098,14111
12206,40232
387,61990
385,72140
949,13122
389,12183
388,12180
386,17196
2069,14292
390,12183
950,13122
1473,51182
1474,51180
4416,51140
393,61990
391,14253
395,61990
392,14253
2070,14292
952,13115
394,17138
951,13122
396,13165
3144,43120
953,13125
954,13125
5656,43152
5559,43173
958,13121
397,31160
955,13125
398,17182
957,13121
7099,14111
399,12181
956,13115
959,13121
2071,14292
960,13121
1089,43174
1573,42990
8340,14141
402,12183
400,14253
404,17111
401,12183
3145,10101
403,12183
961,13121
405,42140
962,13121
963,13112
4417,51140
7100,14111
409,61990
407,14253
2072,14292
411,12183
408,14253
5657,43152
410,12183
964,13112
412,63113
965,13129
966,13112
3146,10101
11014,70101
414,63113
417,63113
415,63113
2073,14292
968,13112
416,63113
967,13112
418,63113
969,13112
970,13112
4418,51140
8341,14141
3147,10101
15001,12132
424,40182
421,61121
419,63113
423,61121
420,63113
7101,14111
422,61121
425,42142
426,42110
2074,14294
427,40202
428,42162
2507,18141
14360,17103
971,13112
429,50202
432,40203
434,40181
430,50201
3148,10101
433,30994
431,51181
972,13122
435,40181
973,13102
4419,51140
5658,43152
12207,50250
438,40181
436,40181
440,42110
439,42110
437,40181
2075,14294
975,13146
974,13102
441,40182
976,13112
3149,14302
977,13112
4420,51140
5659,43152
979,13112
442,30994
445,40323
443,42110
978,13112
446,83110
444,42110
2076,14292
980,13112
981,13112
1069,43153
3150,14302
7102,14111
452,42162
449,61121
447,30220
982,13122
451,42101
448,61121
450,42161
453,42161
454,42162
455,42161
456,42162
4421,51140
5660,43152
8342,15102
459,42110
462,42162
457,42161
460,42162
458,42161
461,42161
983,13122
463,40323
464,14990
465,40181
466,40181
2077,14295
467,40181
476,42254
473,15191
468,40181
471,62192
469,40181
475,42254
472,62192
470,62192
3151,12230
474,18261
477,42255
984,13121
478,42253
5661,43152
485,42254
484,42255
479,42255
482,42255
480,42251
486,42255
483,42255
481,42251
985,13122
487,42255
2078,14295
488,42255
489,42253
7103,14111
2508,18142
496,42251
495,42255
490,42251
493,32112
491,42255
497,32112
494,32112
492,42255
986,13122
498,42254
499,42255
3152,12230
4422,51140
12208,50250
502,42254
500,42254
507,61103
504,42255
501,42254
506,61103
503,42254
987,13122
505,42255
508,61103
2079,14295
509,61103
8343,15274
14361,17104
510,71112
513,71114
511,61101
988,13121
514,71114
512,71112
515,71112
2080,14292
516,70132
989,13122
3153,62122
4423,51140
5662,43151
6254,43172
522,61103
519,61101
517,71112
